battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
903,0,1.0,1,2,0,17,0.5,87,2,15,1673,1125,1608,11,12,20,0,1,0,1
651,1,1.2,1,6,0,18,0.9,148,8,20,1909,1602,1564,17,3,19,0,0,0,1
553,1,0.8,1,0,0,21,0.4,141,1,7,199,1865,1202,7,1,14,0,1,0,0
1643,1,2.2,0,10,1,59,0.8,130,8,9,404,1061,809,16,1,12,1,0,0,0
1127,1,2.9,0,5,1,24,0.5,142,1,9,420,1331,3393,10,10,2,1,0,1,2
1086,1,1.2,0,19,1,35,0.2,147,1,17,6,1618,3963,7,4,7,0,0,0,3
1943,1,1.7,0,2,0,12,0.9,157,8,9,1881,1440,3984,14,8,3,0,1,1,3
1945,0,2.1,1,18,1,35,0.5,95,6,8,1548,1874,2296,8,16,14,1,0,0,3
603,0,3.0,0,1,0,34,0.8,163,1,18,591,561,3959,16,11,14,1,1,0,2
753,0,0.8,1,17,0,27,0.4,103,8,0,285,1665,2412,8,17,20,1,0,0,0
1750,1,1.7,0,11,0,3,0.1,85,5,3,670,1233,3742,7,2,10,0,1,1,3
1635,1,1.5,1,9,1,62,0.2,198,7,2,388,1634,347,14,4,20,0,1,1,0
1009,1,2.7,0,4,1,64,0.5,136,7,9,415,1281,1258,10,13,2,1,0,0,0
1996,1,1.7,1,8,0,24,0.7,110,7,11,783,1680,623,9,15,9,0,1,1,1
598,1,0.8,0,1,1,42,0.4,85,7,17,1006,1038,1075,15,8,15,0,0,0,0
652,1,2.1,1,1,1,23,0.7,178,6,19,1736,1096,678,13,16,17,0,1,0,0
1413,0,2.4,0,5,0,59,0.7,158,3,5,1173,508,827,13,6,5,0,1,1,0
1377,0,0.5,1,9,0,35,0.7,108,8,20,1014,775,3165,7,9,19,1,0,0,3
837,1,2.6,1,17,1,61,0.5,146,1,1,427,726,1519,17,3,15,0,1,0,0
1321,0,1.0,0,11,0,16,0.9,154,4,9,1831,685,690,13,9,10,0,0,1,0
1686,1,1.9,1,3,0,11,0.5,82,7,1,1004,1090,2515,17,2,16,0,0,0,1
1456,0,1.5,0,16,1,16,0.5,107,2,8,1316,1739,1679,16,8,4,0,0,0,1
660,1,2.3,0,14,1,43,0.3,153,7,9,333,932,1889,7,12,5,1,1,1,0
1300,1,1.4,0,5,0,30,0.4,193,7,1,271,1068,2829,8,0,19,0,0,1,1
897,0,2.7,1,15,1,58,0.1,176,2,7,1066,1155,2009,5,14,15,0,0,0,1
1800,0,2.3,1,16,0,24,0.7,127,6,16,1491,855,723,9,14,16,1,0,0,1
1315,1,2.1,0,2,0,60,0.3,159,2,16,318,1342,1449,16,10,9,0,0,1,1
1915,1,2.5,0,9,1,18,0.4,89,2,3,1515,891,2098,13,9,11,0,1,1,2
1658,0,2.4,1,4,0,61,0.8,112,6,17,526,1078,1047,6,6,13,0,1,0,1
1718,0,0.6,1,13,0,10,0.4,179,2,11,759,1798,3178,8,0,10,0,0,1,3
900,1,1.5,1,12,0,51,0.3,146,1,16,1195,1974,2513,14,6,9,1,0,1,3
1139,0,2.8,0,5,1,37,0.3,148,7,8,1753,919,2559,6,4,18,1,0,1,2
1556,1,0.8,0,11,1,10,0.8,91,3,18,1672,663,1962,18,15,10,1,0,0,2
1187,1,2.3,0,7,1,17,0.2,136,6,13,320,1278,328,12,7,14,0,0,0,0
959,1,2.9,0,4,0,37,0.5,123,4,13,738,1137,402,13,1,15,0,0,0,0
1454,1,0.6,0,14,0,49,0.6,92,6,16,1067,1706,3667,7,7,6,1,1,0,3
969,0,2.2,1,15,1,52,0.7,103,5,1,1555,1833,572,17,13,10,1,0,0,0
1898,0,1.7,0,0,1,34,0.7,123,4,7,1654,516,3945,13,3,17,0,0,1,3
1545,0,1.9,1,15,1,56,0.8,136,5,4,453,945,861,10,14,20,0,0,1,0
1249,0,0.7,1,4,0,32,0.1,175,8,6,745,669,830,10,6,8,0,0,1,0
537,0,0.6,0,2,1,7,0.4,95,8,15,1903,1803,1433,11,7,13,0,0,0,1
729,0,2.2,1,19,0,11,0.4,175,6,15,1914,839,3582,16,10,3,0,0,0,3
1888,0,2.6,0,14,1,17,0.2,188,5,16,928,1225,3678,9,1,19,0,1,1,3
1062,1,2.5,1,12,0,5,0.4,180,4,6,847,1534,2850,10,8,19,0,1,1,1
937,0,1.9,0,15,0,55,0.4,199,1,19,867,632,3138,15,5,17,0,0,1,3
1806,0,0.7,0,10,1,23,0.6,179,6,7,773,1400,567,5,0,12,0,1,1,0
526,1,2.2,1,1,0,14,0.7,100,6,7,82,1139,3111,7,2,3,0,0,0,1
725,0,1.1,0,5,1,17,0.4,190,2,10,542,1671,1020,16,9,15,1,1,0,0
1800,0,2.8,1,5,0,53,0.7,155,6,14,321,1322,3996,13,4,5,0,0,1,3
1297,1,2.6,0,13,0,63,0.4,130,7,17,785,1453,2437,16,11,8,0,0,0,3
783,0,2.3,0,10,1,30,0.4,100,8,5,1257,578,3251,9,0,3,0,0,0,2
1378,0,2.9,0,7,0,7,0.6,139,7,11,539,845,3456,9,8,15,1,1,0,2
1459,0,0.6,1,7,1,27,0.1,130,6,14,251,1108,691,12,12,8,0,1,0,0
952,1,2.3,1,0,1,12,0.2,100,8,5,835,1772,3607,15,6,10,1,0,1,2
1519,0,1.3,0,6,1,25,0.5,186,8,17,1788,1138,613,15,15,9,0,0,1,1
1315,0,2.8,1,5,0,30,0.9,196,1,19,448,1547,3233,17,7,10,1,1,0,3
1158,1,1.2,0,7,0,4,0.7,85,2,8,1262,1994,3186,6,6,8,1,0,1,2
1046,0,2.3,1,18,0,53,0.2,152,3,7,489,1724,2555,17,3,20,0,0,0,2
1715,1,2.7,1,19,1,11,0.9,144,5,13,1905,630,390,11,9,18,1,0,1,0
1572,1,0.6,0,7,1,62,0.8,155,4,18,463,855,778,13,0,14,1,1,1,1
516,0,1.5,0,13,0,61,0.6,137,3,18,313,1443,1059,11,16,12,0,1,1,0
1695,1,2.4,0,17,0,63,0.8,157,2,7,1198,649,2963,16,12,19,0,0,1,3
1743,1,1.6,0,15,1,64,0.5,85,7,1,1729,1827,2622,9,12,18,0,0,1,3
657,0,1.2,0,8,0,2,0.3,144,7,3,1203,549,335,17,8,17,0,1,1,0
976,1,1.0,1,14,1,53,0.6,165,7,5,1955,963,3518,10,4,11,0,0,1,3
1569,1,0.8,1,9,0,44,0.6,113,1,2,384,1763,1732,8,0,5,0,0,0,1
1896,0,2.6,0,15,1,27,0.6,135,8,2,294,954,3671,18,1,5,1,0,1,3
1017,0,1.9,0,3,0,59,0.6,154,7,18,1238,1806,3357,16,10,12,1,0,0,3
598,0,0.7,0,19,0,13,1.0,82,4,10,985,834,2717,11,3,9,0,1,1,1
1560,1,1.5,1,12,1,15,0.9,121,5,9,1738,1875,2296,5,8,10,0,0,1,2
779,0,1.4,0,4,1,26,0.9,141,6,11,761,1167,623,8,4,17,0,0,1,0
1872,1,1.0,0,6,1,9,0.8,85,6,13,1897,826,1262,7,4,11,0,0,0,1
996,1,1.6,1,8,0,44,0.9,85,3,17,768,1515,1248,17,7,10,1,1,0,1
801,1,1.3,1,7,1,5,0.2,142,5,8,1098,835,851,8,1,4,1,1,0,0
680,1,1.4,1,15,1,29,0.3,99,2,14,343,1165,3829,5,6,3,0,1,0,2
1106,1,2.3,1,5,0,8,0.5,100,5,2,1737,1494,3989,16,16,10,1,0,0,3
1622,1,1.1,0,15,1,11,0.9,81,1,10,141,580,2152,17,10,14,1,0,1,1
1199,1,2.1,1,5,1,52,0.6,169,3,9,717,586,3321,6,14,7,0,0,0,2
1492,0,1.9,1,13,1,58,0.8,174,3,17,1222,757,3004,16,2,5,0,1,0,3
1639,0,1.9,0,0,0,59,0.2,169,1,3,1942,1490,1300,15,12,15,1,1,0,2
690,1,2.2,0,8,0,37,0.3,135,5,12,1194,684,2852,17,17,12,0,0,1,2
752,1,1.9,0,12,0,3,0.8,175,7,5,405,1197,2549,13,2,3,0,0,1,0
1480,0,2.7,1,18,1,27,0.2,89,1,20,1851,622,2586,11,1,4,0,1,1,3
1427,1,2.2,0,16,0,54,0.4,166,7,12,227,1619,2917,17,4,6,1,0,0,3
1684,0,1.9,1,10,1,51,0.3,149,4,19,410,1104,3234,10,4,8,1,0,1,3
1779,0,2.6,1,7,1,15,0.4,102,1,4,951,1014,3109,6,12,12,1,0,0,2
1846,0,2.0,1,4,1,59,0.7,171,7,19,897,1403,2535,5,7,13,1,1,1,3
627,1,1.2,0,9,0,17,0.4,192,5,13,1958,1966,2619,6,15,12,0,0,1,2
517,1,1.0,1,6,0,55,0.6,109,7,12,690,1894,3141,11,17,20,0,1,1,2
1065,0,0.9,0,9,1,44,0.2,157,1,13,877,804,2079,6,15,14,1,0,1,1
1069,0,2.7,0,3,1,43,0.8,116,2,7,786,1880,3663,7,0,5,1,1,1,3
1846,0,2.3,0,8,0,18,0.4,134,6,15,61,1671,2267,12,7,15,0,1,0,2
1185,0,2.8,1,13,0,47,0.7,175,1,12,1350,1808,2255,11,1,13,1,1,0,2
1125,0,2.0,1,1,0,23,0.8,128,6,14,1739,1156,666,16,4,3,1,0,1,0
1811,1,1.7,1,8,1,5,0.3,113,1,18,878,761,2548,15,14,9,1,0,0,2
1353,0,0.6,0,0,0,20,0.9,184,5,0,1156,990,642,15,13,20,1,0,1,0
1461,1,2.2,1,9,0,3,0.7,123,4,1,1607,1237,2992,18,2,14,1,1,1,2
654,0,2.0,1,9,0,40,0.5,194,4,17,1613,1554,2004,15,6,2,1,1,1,2
989,1,3.0,1,19,1,10,0.3,101,6,18,1212,1201,2661,13,3,6,1,0,1,2
1909,1,1.1,1,2,0,61,0.9,110,8,7,355,1386,1277,16,10,12,0,1,1,1
1284,1,1.8,1,5,1,20,0.8,86,8,2,70,1791,2917,8,11,12,0,1,1,1
1627,1,2.1,0,5,1,17,0.3,184,5,13,262,511,3101,11,14,14,0,0,1,2
1916,1,2.1,0,1,1,55,0.4,100,7,8,305,1714,2325,5,5,3,1,1,0,2
745,1,1.9,0,17,0,26,0.8,95,5,7,557,1923,274,15,0,20,0,0,0,0
1699,0,2.4,0,1,0,49,0.7,99,8,16,1247,590,3614,15,17,17,0,0,1,3
1562,1,1.0,1,11,0,19,0.8,122,5,15,1351,1099,531,6,13,6,0,1,0,0
1258,0,2.3,0,4,1,24,0.5,123,2,9,761,800,914,11,6,15,0,0,1,0
1037,1,2.0,1,19,0,54,0.7,126,3,20,587,1634,3201,6,9,20,1,1,0,3
1420,1,2.7,0,6,1,22,0.4,193,8,9,73,579,807,10,8,6,0,0,0,0
907,0,2.6,0,15,0,12,0.3,98,8,5,1534,1335,934,17,1,10,0,0,1,0
1024,1,1.3,0,19,0,40,0.7,127,1,16,141,1151,858,14,7,13,0,0,1,0
1327,0,1.2,1,0,0,42,1.0,175,5,15,1608,932,3399,16,0,17,0,0,0,3
1402,0,3.0,1,0,0,5,0.4,158,5,14,101,916,620,13,1,20,1,0,1,0
535,0,1.8,0,16,1,26,0.5,148,5,13,1629,1737,2229,15,6,16,1,0,0,1
1184,0,2.8,1,0,1,64,0.7,90,4,3,1604,1970,1050,9,15,18,0,0,1,1
519,1,0.9,0,19,1,33,0.6,158,5,3,1088,517,1614,14,3,16,0,1,0,0
820,1,2.1,0,12,1,31,0.9,108,8,1,192,1577,2955,11,16,4,0,0,0,1
1011,0,2.5,0,8,0,46,0.8,193,1,10,952,1245,2030,17,3,18,0,0,0,1
899,1,2.9,1,14,1,60,0.2,124,7,3,1085,739,845,5,2,14,1,1,1,0
1153,1,1.3,0,2,1,27,1.0,147,7,20,1555,1345,454,12,8,10,1,1,0,0
1471,0,2.3,0,13,1,58,0.8,192,5,20,1264,917,2320,13,14,14,0,0,1,3
970,1,1.8,0,10,0,62,0.9,115,1,15,1738,1355,473,17,2,17,1,1,1,1
1666,0,0.7,1,11,1,37,0.7,127,2,20,409,1967,996,9,11,20,1,0,1,1
1615,0,2.2,0,12,1,52,0.9,166,7,3,299,1098,905,10,14,15,0,0,1,0
1877,1,2.2,1,12,0,35,0.2,94,8,0,1218,1646,2450,17,7,9,0,1,1,2
1333,1,2.8,0,0,0,10,0.4,189,3,18,453,919,3537,15,11,20,1,1,0,3
1226,1,1.7,1,9,1,13,0.9,123,4,1,573,715,925,12,12,4,1,0,1,0
1353,0,1.1,0,2,1,3,0.3,146,1,8,618,1943,1693,8,14,19,1,1,1,1
550,0,0.6,0,3,0,39,0.2,175,7,12,636,1208,920,6,10,17,0,0,0,0
1074,1,1.5,1,15,1,6,0.8,153,7,17,300,1050,1111,14,16,15,0,0,0,0
1713,1,1.3,1,7,0,63,0.9,119,6,15,778,1465,2633,12,11,17,0,1,1,3
1648,1,2.4,0,15,1,6,0.2,181,2,15,1479,1751,1150,6,17,18,0,0,1,1
649,1,1.4,1,16,1,53,0.9,165,3,9,988,1760,2149,9,15,12,1,1,1,1
813,0,2.9,0,18,1,23,0.7,93,3,8,201,1853,3679,17,2,14,0,1,0,2
1069,1,2.9,0,14,1,6,0.6,142,3,10,673,1332,1442,10,8,12,1,1,1,0
1865,0,2.1,0,15,1,60,0.8,160,8,3,1879,1992,2098,9,6,5,1,0,1,3
804,0,2.8,1,14,0,5,0.5,164,1,9,301,1179,2404,10,4,15,1,0,0,0
1181,1,2.4,0,1,0,62,0.3,130,2,2,1647,986,582,10,9,6,1,0,0,0
1337,1,1.9,1,10,1,10,0.4,191,5,5,336,1122,2630,7,11,5,0,1,0,1
1577,1,1.0,0,0,1,30,0.6,158,6,2,31,1938,3482,15,7,2,1,0,1,3
1502,0,1.6,1,14,1,23,0.6,137,2,8,1121,718,2313,15,2,15,1,1,1,1
943,1,1.9,1,18,0,28,0.8,94,2,2,1782,1220,2656,7,10,8,0,1,1,2
1112,1,2.7,0,3,0,11,0.8,144,7,17,772,880,438,13,7,11,1,0,0,0
1492,0,1.7,1,10,0,17,0.6,167,2,7,1214,586,710,7,12,3,0,1,0,0
763,1,2.7,0,4,0,43,0.8,134,1,7,1564,1984,1925,7,9,11,0,0,1,1
1576,0,2.2,0,2,0,62,0.3,198,6,14,1071,1314,261,15,17,4,0,1,0,1
1503,1,0.8,0,12,0,43,0.1,155,1,12,1273,910,3660,18,11,9,0,0,0,3
504,0,3.0,0,9,0,62,0.9,89,6,6,1249,1190,1612,6,6,11,1,1,0,0
1626,1,1.8,0,10,0,52,0.2,189,6,18,1295,1512,3585,11,10,9,0,1,0,3
1719,1,1.5,1,17,1,11,0.3,185,7,7,664,1024,466,14,9,15,1,0,1,0
1273,0,2.1,0,1,0,7,0.7,121,1,9,1508,946,306,14,2,19,1,0,1,0
1376,0,0.8,1,6,0,63,0.5,195,6,16,327,799,1724,8,6,10,0,0,0,1
1491,1,2.1,1,8,0,50,0.9,174,2,0,796,907,3986,5,3,10,1,0,0,3
1383,0,1.7,0,9,0,6,0.4,90,1,12,1203,874,1265,10,7,5,1,0,0,0
1873,0,1.5,1,17,1,59,0.1,197,6,12,813,732,632,9,7,4,1,1,0,1
546,0,2.9,0,6,0,7,0.4,95,8,15,664,1137,2943,18,5,15,0,1,0,1
1366,0,1.8,1,6,1,64,0.6,152,3,8,745,1149,3813,15,12,15,1,0,1,3
1322,1,1.0,1,2,1,60,0.4,190,1,9,1046,1460,3073,6,11,17,0,0,0,3
1435,1,1.6,1,11,1,57,0.6,157,7,5,929,1572,1330,10,2,6,0,1,1,1
1155,0,2.8,0,6,0,60,0.9,98,8,4,962,685,409,5,5,16,0,1,1,0
768,0,0.9,1,16,0,64,0.9,110,8,1,1629,1728,837,7,10,10,1,0,0,0
869,0,1.0,0,0,0,48,0.3,152,4,10,1393,577,1043,8,3,8,1,0,1,0
1135,0,0.5,1,4,1,26,0.5,179,1,8,1268,1909,1046,17,14,14,1,0,0,0
1629,1,0.5,1,15,1,60,0.6,132,8,5,1825,693,3637,7,1,9,0,1,0,3
1156,1,2.6,1,14,1,52,1.0,182,1,7,1183,1626,3726,17,14,13,1,1,0,3
619,0,2.3,1,1,1,51,1.0,197,1,8,372,1899,2437,10,16,5,0,1,1,1
1330,0,1.4,0,8,0,62,0.3,169,6,8,284,786,2523,15,1,17,0,1,1,2
1581,0,2.2,0,6,0,5,0.8,87,1,7,520,749,418,8,6,7,1,0,1,0
1869,1,1.5,1,3,0,41,0.4,103,4,11,1473,1724,1226,18,15,6,1,0,0,2
1240,0,2.9,1,19,1,60,0.1,87,5,7,696,1035,903,5,4,2,0,0,1,0
1997,1,2.9,0,17,1,49,0.1,162,1,2,806,1984,2872,9,15,15,0,1,1,3
616,0,1.5,0,3,0,33,0.5,190,3,12,646,799,1781,9,1,10,1,1,1,0
1290,1,2.6,0,12,0,57,0.5,127,4,18,1645,1606,1201,13,14,19,1,0,0,2
1650,0,2.4,0,0,1,52,0.1,109,5,1,1604,1308,944,12,3,7,1,0,1,1
1916,1,1.3,1,2,0,53,0.7,137,6,16,135,957,2418,12,1,16,0,1,0,2
1512,0,1.1,1,15,0,36,0.4,165,1,15,95,1190,1778,9,9,17,1,0,1,1
1581,0,1.6,0,3,1,11,0.6,134,5,3,1142,1821,1751,12,4,9,1,0,1,1
1133,0,2.5,0,15,1,35,0.4,152,3,17,1397,1887,2303,18,17,20,0,1,1,2
1012,1,2.9,0,18,1,37,0.3,141,4,13,273,1217,1428,14,3,6,0,0,0,0
1301,0,2.4,0,0,0,7,0.5,187,4,1,1893,539,3568,11,0,15,1,1,0,2
1619,1,2.6,0,4,1,44,0.3,127,6,12,877,1863,378,5,17,8,1,0,1,1
1641,1,2.0,0,18,0,47,0.6,83,6,20,849,607,1059,16,5,5,1,0,1,1
1059,0,2.6,1,10,0,17,0.3,116,6,19,1200,1839,3142,11,13,2,0,0,0,3
987,0,2.5,1,12,1,60,0.6,87,5,16,1896,1637,1348,15,9,5,1,1,0,2
1760,0,1.4,1,19,0,54,0.2,80,1,14,1772,1690,3129,12,17,15,0,1,1,3
1396,1,1.9,0,4,1,20,0.7,171,2,19,783,760,318,7,8,17,1,1,1,0
1795,0,2.5,0,3,1,35,0.8,149,8,4,1300,1747,988,13,11,8,0,1,0,1
1712,1,0.6,0,3,0,26,0.2,126,4,6,1161,1785,3343,12,9,11,1,0,1,3
1203,1,2.5,1,3,0,32,0.5,179,2,17,1897,1774,3717,6,5,11,1,1,0,3
1970,0,0.9,0,3,1,50,0.2,196,7,10,131,1025,2893,10,13,5,1,0,1,3
1080,0,1.8,0,19,1,42,0.6,154,4,17,1067,1209,1913,8,7,13,0,0,1,2
1289,0,2.5,1,17,1,18,0.3,84,8,4,1146,625,1203,7,13,7,0,0,1,0
1360,0,1.1,0,17,1,48,0.6,129,6,12,1159,1729,3585,15,10,14,0,0,1,3
746,0,1.1,1,15,1,31,0.6,103,8,17,1390,1663,2520,10,15,2,0,0,0,2
1599,0,1.5,1,8,1,40,0.9,126,1,1,372,1585,734,14,5,9,1,0,1,0
653,1,2.7,0,17,0,55,0.6,97,1,19,1149,1806,1393,17,14,17,0,0,1,1
1958,1,0.5,1,1,0,56,0.6,163,4,3,1462,553,2252,13,14,6,0,1,1,2
1496,1,2.8,0,3,0,32,0.5,107,5,12,1810,845,1659,6,13,8,1,0,1,1
1609,0,0.9,1,11,0,20,1.0,156,7,15,1599,635,3985,14,11,4,0,1,1,3
1196,1,3.0,0,6,1,63,0.8,84,8,5,807,829,1232,14,1,3,1,0,1,0
1808,1,2.9,1,14,0,36,0.4,109,6,7,743,1667,492,14,7,3,0,1,0,0
1743,1,1.7,0,6,0,30,0.9,80,1,15,50,1959,2779,9,13,11,0,0,1,3
1592,1,1.8,1,16,1,60,0.5,165,7,12,1160,1805,2210,10,4,10,1,1,0,3
1570,1,1.7,1,15,0,2,0.8,161,7,3,1181,635,853,8,8,19,1,0,0,0
1508,0,2.1,1,18,1,5,0.8,125,1,1,55,1312,1958,11,12,7,1,1,0,0
593,0,0.7,0,8,1,29,0.3,148,3,8,1616,1351,2432,6,8,7,1,1,0,1
1457,1,0.6,0,13,1,19,0.7,110,8,17,743,1924,2813,11,13,11,0,1,1,3
1511,1,0.6,1,16,1,27,0.4,149,7,16,427,1370,420,6,4,10,0,0,1,0
952,1,1.6,0,4,1,41,0.4,170,1,7,442,1391,2580,5,1,10,1,0,1,1
1727,0,1.2,1,1,0,20,0.4,135,3,14,1934,1972,2560,15,6,4,1,1,0,3
1411,0,2.1,0,19,0,56,0.8,168,1,8,325,1134,3459,9,15,13,0,1,1,3
717,1,3.0,1,15,0,56,0.3,172,1,16,639,1168,3295,6,10,12,1,0,0,2
973,0,1.5,0,13,1,61,0.1,107,7,1,1661,1793,825,12,10,15,0,0,0,0
931,0,1.9,1,13,0,58,0.7,95,5,5,828,1540,3584,16,11,20,1,0,1,3
840,1,1.5,1,0,0,7,0.3,133,5,4,79,768,396,16,12,11,1,0,0,0
1050,0,2.6,1,2,0,2,0.2,132,6,16,473,1360,941,16,7,20,1,0,0,0
1812,0,2.8,1,6,0,9,0.3,91,8,1,376,981,942,12,15,6,1,1,0,0
1777,1,2.7,0,14,1,34,0.4,99,1,17,1892,1742,3536,5,0,10,0,1,0,3
856,0,2.9,1,18,0,52,0.5,161,8,9,918,1842,3019,8,12,2,1,1,1,2
522,0,0.6,0,19,1,44,0.1,113,6,9,332,1761,3326,18,10,16,0,1,0,2
1021,1,2.6,0,1,1,22,1.0,198,6,5,1198,784,3846,13,3,5,1,0,0,2
1623,0,2.4,1,18,0,25,0.7,132,6,11,1680,1560,2294,9,3,8,1,0,0,2
1301,0,1.1,0,8,1,26,0.4,143,6,16,440,602,1330,16,14,7,0,1,1,0
1703,1,2.9,0,18,1,48,0.4,102,4,12,125,1953,1782,15,2,16,1,0,1,2
1746,1,0.9,0,4,1,56,0.5,188,7,19,1717,1291,1538,14,1,7,0,0,0,3
1261,1,2.2,1,17,1,58,0.7,106,7,15,218,738,2481,17,5,8,1,1,1,2
941,0,1.1,0,15,1,44,0.2,192,4,9,947,1240,1177,10,7,4,0,1,1,0
1268,1,1.6,0,3,1,20,0.3,96,1,20,277,1144,2846,7,16,14,1,0,1,2
1515,0,2.3,1,11,1,30,0.9,127,4,1,1508,1648,3683,9,4,3,1,1,1,3
1848,1,1.9,1,6,0,54,0.3,100,1,1,594,1381,1597,18,1,4,1,0,0,1
1015,0,1.6,0,13,0,11,0.4,129,5,6,934,1106,1945,16,11,14,1,1,0,0
1539,1,1.3,1,11,1,57,0.9,119,7,5,140,687,3266,17,4,10,1,0,1,2
1291,1,2.6,0,2,1,13,0.7,174,2,0,845,1387,619,17,9,20,0,1,1,0
835,1,0.9,0,4,0,34,0.4,82,3,11,1007,1779,1334,17,8,19,0,0,1,1
757,1,1.6,0,16,0,57,0.7,96,7,12,1630,1486,3483,5,7,6,0,0,1,3
996,0,2.8,1,9,0,8,0.1,140,4,11,876,1423,1323,12,0,11,1,0,1,0
1395,1,2.6,0,9,0,18,0.8,129,4,18,1729,1293,2896,15,5,15,1,1,1,3
659,1,1.5,1,10,1,62,0.5,169,5,8,109,1029,2286,10,10,18,1,0,1,1
1998,0,2.4,1,16,1,62,0.8,166,4,9,1075,1175,2845,16,2,4,0,0,0,3
1351,1,2.6,0,4,0,59,1.0,85,1,16,1638,891,2625,6,14,8,0,1,0,3
1189,0,2.7,1,12,0,61,0.9,107,1,17,612,1991,2951,8,10,10,0,1,1,3
879,1,1.9,1,9,0,11,0.9,151,2,7,1677,1776,2317,8,4,6,1,0,1,1
1456,1,1.0,1,8,0,32,0.6,134,2,6,712,1171,1636,13,15,5,1,0,0,1
1190,1,1.1,1,16,1,61,0.4,137,7,8,1342,1360,1762,13,6,4,0,1,0,2
1950,0,1.2,1,0,0,7,0.5,124,2,9,1222,1699,873,9,5,14,0,1,1,1
1791,1,2.0,0,3,0,18,0.7,151,1,11,795,965,614,16,8,10,0,0,0,0
1940,1,0.6,1,3,0,51,0.9,98,8,14,728,1338,1597,7,6,8,0,0,0,2
1691,1,2.1,0,17,1,38,0.3,181,6,14,1069,1487,3402,5,2,9,1,1,1,3
1566,0,1.4,0,8,1,19,0.9,108,6,3,504,1812,2238,10,10,11,0,0,0,1
784,0,1.2,0,17,1,63,0.8,102,2,3,1563,1573,1870,12,11,2,1,0,1,1
896,1,2.7,0,13,0,27,1.0,190,2,0,1537,503,449,5,10,2,1,0,0,0
511,0,1.7,0,14,0,50,0.9,111,1,11,1918,1351,618,15,1,20,1,1,1,0
1825,1,0.7,0,5,0,55,0.4,89,5,1,1040,1746,1375,5,0,3,1,1,0,1
1776,1,2.6,1,9,1,17,0.2,170,7,14,314,1785,1319,15,1,13,1,0,0,1
998,1,0.6,1,14,1,9,0.2,128,4,16,1459,1034,3071,11,13,14,1,0,1,2
1253,1,2.3,1,3,0,25,0.4,144,7,6,1411,1402,2700,11,12,15,0,0,0,2
534,1,2.4,0,17,0,14,0.7,182,3,5,76,1899,362,6,4,6,0,1,0,0
1226,1,1.4,1,17,1,30,0.8,108,6,11,977,1584,3344,7,1,4,0,0,1,3
1348,1,2.6,1,16,0,33,0.9,138,8,18,898,1879,782,6,16,18,0,1,0,1
589,0,1.8,1,11,0,25,0.7,124,6,0,1394,1145,2208,10,10,2,1,0,0,0
1275,0,1.7,0,6,0,17,0.1,146,1,20,1188,523,3314,17,15,15,0,1,1,3
1104,0,0.6,1,15,1,12,0.3,130,7,13,1632,1816,1039,17,17,7,1,0,1,1
1469,0,1.2,0,10,0,33,0.2,190,8,3,1640,1056,3826,12,7,18,0,1,1,3
1521,0,2.8,1,13,0,7,0.4,180,1,4,1047,1190,2828,12,1,5,0,1,1,2
917,0,1.5,0,2,0,60,0.6,174,3,0,711,855,2038,5,16,7,1,0,1,1
614,0,1.9,0,18,0,36,0.1,90,8,0,1058,1369,2005,15,10,2,1,1,1,0
1116,1,1.8,0,17,1,34,0.4,165,7,20,1537,1440,3990,13,13,10,0,0,1,3
1719,1,2.0,1,9,1,19,0.3,161,8,5,1824,1074,1322,15,15,5,0,1,1,1
1325,1,0.7,1,5,1,38,0.7,178,3,4,1867,528,2929,12,14,10,1,0,0,2
1598,1,1.4,0,12,0,14,0.5,85,2,1,853,856,2121,13,14,10,1,1,0,1
912,0,2.3,1,9,1,11,0.5,146,7,20,1484,864,3920,17,2,14,1,1,1,3
1899,0,1.0,0,17,0,38,0.5,141,3,4,1161,1107,2653,18,6,18,1,0,0,2
1943,1,1.0,0,19,1,27,1.0,84,4,8,1872,908,3980,17,11,4,1,1,1,3
1228,1,0.5,1,15,0,47,0.3,88,4,18,1597,1789,3357,13,2,7,1,0,0,3
1800,0,1.6,1,5,1,18,0.6,107,6,20,1834,1814,1720,15,9,16,1,0,0,3
1520,1,2.7,1,12,1,2,0.8,162,4,14,708,1066,1261,16,7,15,1,0,1,0
1260,1,0.6,0,3,1,64,0.6,171,7,12,1912,1676,2845,10,15,14,1,1,0,3
1175,1,1.0,0,13,0,26,0.9,170,4,11,1594,718,3782,7,15,10,1,1,0,3
1917,1,1.3,1,0,0,35,0.4,156,4,4,264,672,1890,5,11,16,0,1,0,1
956,0,2.3,0,19,0,40,0.5,117,8,1,332,1107,3265,15,4,15,1,0,1,2
1419,1,2.1,1,4,1,11,0.2,122,2,3,187,1535,349,12,5,5,1,0,0,0
691,1,1.5,0,7,0,21,0.6,196,6,17,1086,1885,3622,14,5,12,0,1,0,3
1238,0,2.4,1,11,0,8,0.4,100,1,20,819,1357,3876,7,7,3,1,0,1,3
1622,0,2.0,1,1,0,57,0.2,170,6,9,1302,1156,2299,17,16,17,0,1,0,2
1477,1,2.7,0,11,0,17,0.6,141,6,12,1565,1468,3202,11,11,20,1,1,0,3
